JOURNAL OF ECOLOGY
Year: 2021
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2021,"26,651","6.381","6.048","7.164","1.568","241","94.19","89.190",
2020,"24,978","6.256","5.788","7.125","1.331","326","96.93","92.335",
2019,"20,912","5.762","5.352","6.488","1.559","213","97.65","92.316",
2018,"19,532","5.687","5.323","6.817","1.870","193","97.41","92.781",
2017,"18,409","5.172","4.948","6.525","1.506","156","89.74","92.218",
2016,"17,195","5.813","5.380","6.499","1.144","160","98.75","93.149",
2015,"16,192","6.180","5.787","6.409","1.087","149","94.63","95.133",
2014,"15,745","5.521","5.073","6.314","1.179","151","92.72","92.971",
2013,"14,830","5.694","5.296","6.477","1.215","149","95.30","93.033",
2012,"13,938","5.431","4.959","6.199","1.000","139","92.09","92.372",
2011,"12,765","5.044","4.554","6.020","1.013","152","96.71","90.554",
2010,"12,107","5.260","4.826","5.685","1.094","138","97.83","93.701",
2009,"11,390","4.690","4.063","5.651","0.692","133","87.97","91.831",
2008,"10,422","4.262","3.821","5.209","1.216","125","96.00","89.661",
2007,"9,097","4.422","3.867","4.751","0.591","127","96.85","91.589",
2006,"8,815","4.239","3.815","N/A","0.752","113","90.27","89.912",
2005,"8,507","4.277","3.660","N/A","0.786","112","92.86","90.625",
2004,"7,628","3.397","2.942","N/A","0.624","93","97.85","90.187",
2003,"7,325","2.833","2.344","N/A","0.358","95","94.74","82.381",
2002,"6,719","2.339","2.130","N/A","0.415","94","95.74","74.752",
2001,"6,235","2.291","1.907","N/A","0.207","92","94.57","75.000",
2000,"6,076","2.535","2.218","N/A","0.466","73","94.52","83.500",
1999,"5,987","2.510","2.070","N/A","0.379","87","93.10","80.556",
1998,"5,309","2.860","2.413","N/A","0.349","83","91.57","88.202",
1997,"4,762","2.837","2.404","N/A","0.568","74","94.59","90.116",


Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
