year,month,day,latitude,longitude,location quality,individuals,source,state,family,species
1992,--,--,24.80165774,120.9715255,acceptable,1,Facebook,"sent to rescue center: couldn't release, kept in Hsinchu Zoo, 20160730 dead of old age",Strigidae,Ketupa flavipes
2003,10,--,25.0616151,121.5188098,acceptable,1,Facebook,found dead,Columbidae,Streptopelia chinensis
2005,8,2,25.034743,121.388364,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2006,--,--,23.864278,120.795167,precise,1,Facebook,flew away,Columbidae,Chalcophaps indica
2006,--,--,23.864278,120.795167,precise,1,Facebook,flew away,Pittidae,Pitta nympha
2007,4,18,24.43901276,118.3177989,precise,1,Facebook,sent to rescue center,Cuculidae,Hierococcyx sparverioides
2008,8,13,24.45009,120.87864,precise,1,TaiRON,found dead,Passeridae,Passer montanus
2008,10,22,22.76553887,121.1352632,acceptable,1,Facebook,captured: released afterward,Accipitridae,Accipiter trivirgatus
2008,11,12,23.574373,120.876059,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2008,--,--,23.864278,120.795167,precise,1,Facebook,uncertain,Pycnonotidae,Pycnonotus sinensis
2009,5,--,24.14233553,121.2842401,precise,1,Facebook,captured,Troglodytidae,Troglodytes troglodytes
2009,12,14,--,--,not provided,1,Facebook,captured,Turdidae,Zoothera aurea
2010,2,11,25.04075403,121.5189649,acceptable,1,Facebook,sent to rescue center: dead afterward,Strigidae,Otus lettia
2010,3,7,--,--,not provided,1,Facebook,captured: flew away afterward,Alcedinidae,Alcedo atthis
2010,3,23,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Hypsipetes leucocephalus
2010,4,16,24.15809596,121.6222538,acceptable,1,Facebook,captured: flew away afterward,Accipitridae,Accipiter virgatus
2010,5,19,--,--,not provided,1,Facebook,captured: flew away afterward,Columbidae,Streptopelia chinensis
2010,6,5,25.22391867,121.6163855,acceptable,2,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2010,6,17,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2010,6,29,25.07775364,121.5862295,acceptable,1,Facebook,found dead,Columbidae,Streptopelia chinensis
2010,8,13,23.47589402,120.463751,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2010,8,28,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Pycnonotus sinensis
2010,11,19,--,--,not provided,1,Facebook,found dead,Turdidae,Turdus pallidus
2010,--,--,25.04542231,121.3146507,precise,2,Facebook,found dead,Alcedinidae,Halcyon coromanda
2011,1,25,24.45009,120.87864,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2011,2,11,22.53029615,120.9395438,precise,1,Facebook,found dead,Phasianidae,Arborophila crudigularis
2011,3,29,25.12963896,121.4181948,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2011,4,15,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Hypsipetes leucocephalus
2011,4,23,23.59973243,120.6040247,precise,1,Facebook,captured: flew away afterward,Columbidae,Streptopelia orientalis
2011,5,8,--,--,not provided,1,Facebook,uncertain,Identified to Class: Aves,Identified to Class: Aves
2011,5,9,24.79770519,120.9496606,acceptable,1,Facebook,found dead,Cuculidae,Hierococcyx sparverioides
2011,5,12,--,--,not provided,1,Facebook,captured,Cisticolidae,Prinia inornata
2011,5,21,--,--,not provided,1,Facebook,captured,Pycnonotidae,Pycnonotus sinensis
2011,5,30,--,--,not provided,1,Facebook,captured,Strigidae,Ninox japonica
2011,5,30,24.81148343,121.1326834,precise,1,Facebook,captured: released afterward,Passeridae,Passer montanus
2011,7,6,24.24887412,120.7190295,precise,1,Facebook,captured: flew away afterward,Passeridae,Passer montanus
2011,7,20,24.71430534,121.2547572,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2011,8,11,24.45009,120.87864,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2011,8,14,24.07504598,121.171269,vague,1,Facebook,uncertain,Fringillidae,Pyrrhula nipalensis
2011,9,10,24.86836279,121.4150859,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2011,9,13,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2011,9,13,24.08117151,120.5437589,precise,1,TaiRON,found dead,Zosteropidae,Zosterops simplex
2011,9,16,24.0658086,120.5503657,precise,1,Facebook,captured,Strigidae,Otus lettia
2011,9,20,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2011,9,25,--,--,not provided,1,Facebook,captured,Pycnonotidae,Pycnonotus sinensis
2011,10,8,23.16747354,120.1724638,precise,1,Facebook,captured: released afterward,Muscicapidae,Monticola solitarius
2011,10,18,21.94526089,120.7987409,precise,1,Facebook,found dead,Alcedinidae,Halcyon coromanda
2011,10,19,24.6842398,121.7723453,vague,1,Facebook,found dead,Columbidae,Chalcophaps indica
2011,10,20,24.14000345,120.6754917,acceptable,1,Facebook,captured,Scotocercidae,Urosphena squameiceps
2011,10,23,--,--,not provided,1,Facebook,captured: released afterward,Fringillidae,Eophona migratoria
2011,10,25,24.46284924,118.4444466,precise,1,Facebook,captured: flew away afterward,Hirundinidae,Hirundo rustica
2011,10,26,22.60354861,120.3066929,precise,1,Facebook,uncertain,Passeridae,Passer montanus
2011,11,11,--,--,not provided,1,Facebook,flew away,Columbidae,Columba livia
2011,11,29,--,--,not provided,1,Facebook,uncertain,Accipitridae,Accipiter trivirgatus
2011,12,14,25.10343041,121.5368653,precise,1,Facebook,captured,Zosteropidae,Zosterops simplex
2011,--,--,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2011,--,--,--,--,not provided,1,Facebook,captured,Muscicapidae,Myophonus insularis
2012,1,29,24.06330215,120.68244,precise,1,Facebook,captured: released afterward,Passeridae,Passer montanus
2012,2,5,--,--,not provided,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,2,24,25.00164697,121.3273345,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2012,3,5,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2012,3,5,23.0435239,121.1956744,precise,1,TaiRON,found dead,Columbidae,Chalcophaps indica
2012,3,22,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2012,3,23,22.95025312,121.1303435,precise,1,Facebook,captured: flew away afterward,Columbidae,Chalcophaps indica
2012,3,27,23.75951474,120.6178066,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,4,7,25.11146693,121.55413,acceptable,1,Facebook,uncertain,Megalaimidae,Psilopogon nuchalis
2012,4,8,22.6507308,120.3288169,precise,1,Facebook,uncertain,Cuculidae,Cuculus optatus
2012,4,19,23.19445857,120.3705351,acceptable,1,Facebook,captured: released afterward,Passeridae,Passer montanus
2012,4,24,--,--,not provided,1,Facebook,flew away,Columbidae,Columba livia
2012,4,25,24.22655278,120.5826713,precise,1,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2012,4,29,24.45009,120.87864,precise,1,TaiRON,found dead,Alcedinidae,Alcedo atthis
2012,5,3,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2012,5,7,24.96553737,121.2629114,precise,1,Facebook,captured,Passeridae,Passer montanus
2012,5,9,24.11874153,120.6721756,precise,1,Facebook,captured,Columbidae,Chalcophaps indica
2012,5,11,24.16301199,120.6779518,precise,1,Facebook,captured,Columbidae,Streptopelia tranquebarica
2012,5,11,--,--,not provided,1,Facebook,uncertain,Pycnonotidae,Pycnonotus sinensis
2012,5,11,23.13250665,121.1254409,acceptable,1,Facebook,captured,Columbidae,Chalcophaps indica
2012,5,13,--,--,not provided,1,Facebook,uncertain,Zosteropidae,Zosterops simplex
2012,5,17,22.63157745,120.310588,acceptable,1,Facebook,uncertain,Locustellidae,Locustella certhiola
2012,5,24,25.13628469,121.5288753,precise,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,5,24,24.699137,121.071825,precise,1,TaiRON,found dead,Pittidae,Pitta nympha
2012,5,29,24.25251828,120.5342259,precise,1,Facebook,found dead,Pycnonotidae,Pycnonotus sinensis
2012,5,30,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2012,6,11,25.02645371,121.5328154,precise,1,Facebook,uncertain,Phasianidae,Bambusicola sonorivox
2012,6,13,24.45009,120.87864,precise,1,TaiRON,found dead,Columbidae,Streptopelia orientalis
2012,6,16,--,--,not provided,1,Facebook,captured,Columbidae,Chalcophaps indica
2012,6,25,--,--,not provided,1,Facebook,sent to rescue center,Accipitridae,Accipiter trivirgatus
2012,6,26,22.95036837,121.1303115,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,7,4,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2012,7,7,24.32414581,120.751742,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2012,7,19,23.73521712,120.765222,precise,1,Facebook,found dead,Corvidae,Dendrocitta formosae
2012,7,20,--,--,not provided,1,Facebook,captured: flew away afterward,Columbidae,Streptopelia chinensis
2012,7,28,24.8293506,121.7765047,precise,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,7,30,--,--,not provided,1,Facebook,found dead,Alcedinidae,Alcedo atthis
2012,8,8,--,--,not provided,1,Facebook,captured,Zosteropidae,Zosterops simplex
2012,8,9,--,--,not provided,1,Facebook,uncertain,Ardeidae,Gorsachius melanolophus
2012,8,13,--,--,not provided,1,Facebook,captured,Passeridae,Passer montanus
2012,8,22,--,--,not provided,1,Facebook,flew away,Muscicapidae,Myophonus insularis
2012,8,25,24.86956156,121.2347137,precise,1,Facebook,found dead,Columbidae,Streptopelia chinensis
2012,8,31,23.40004774,119.3227393,acceptable,1,Facebook,captured: released afterward,Cuculidae,Clamator coromandus
2012,9,2,--,--,not provided,1,Facebook,captured,Muscicapidae,Myophonus insularis
2012,9,5,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,9,6,--,--,not provided,1,Facebook,uncertain,Identified to Class: Aves,Identified to Class: Aves
2012,9,8,--,--,not provided,1,Facebook,captured,Zosteropidae,Zosterops simplex
2012,9,8,24.61402109,121.8530582,acceptable,1,Facebook,found dead,Columbidae,Chalcophaps indica
2012,9,11,--,--,not provided,1,Facebook,captured: released afterward,Columbidae,Chalcophaps indica
2012,9,16,--,--,not provided,1,Facebook,captured: flew away afterward,Alcedinidae,Alcedo atthis
2012,9,17,22.61904594,120.3042239,precise,1,Facebook,captured: flew away afterward,Locustellidae,Locustella fasciolata
2012,9,19,22.62684448,120.3051349,acceptable,1,Facebook,captured,Phylloscopidae,Phylloscopus borealis complex
2012,9,24,--,--,not provided,1,Facebook,flew away,Alcedinidae,Alcedo atthis
2012,9,24,23.65842846,121.4099392,precise,1,Facebook,flew away,Phylloscopidae,Phylloscopus borealis complex
2012,9,27,--,--,not provided,1,Facebook,uncertain,Laniidae,Lanius cristatus
2012,9,--,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,9,--,--,--,not provided,1,Facebook,flew away,Passeridae,Passer montanus
2012,9,--,--,--,not provided,1,Facebook,found dead,Muscicapidae,Monticola solitarius
2012,10,5,23.84534831,120.698378,precise,1,Facebook,uncertain,Columbidae,Identified to Family: Columbidae
2012,10,7,--,--,not provided,1,Facebook,flew away,Accipitridae,Accipiter trivirgatus
2012,10,8,--,--,not provided,1,Facebook,flew away,Pycnonotidae,Hypsipetes leucocephalus
2012,10,14,--,--,not provided,1,Facebook,found dead,Megalaimidae,Psilopogon nuchalis
2012,10,14,--,--,not provided,1,Facebook,flew away,Laniidae,Lanius cristatus
2012,10,15,22.52589648,120.6292822,precise,1,Facebook,captured,Megalaimidae,Psilopogon nuchalis
2012,10,18,--,--,not provided,1,Facebook,found dead,Phylloscopidae,Phylloscopus inornatus
2012,10,18,23.41084802,120.561423,acceptable,1,Facebook,flew away,Columbidae,Chalcophaps indica
2012,10,21,--,--,not provided,1,Facebook,captured: dead afterward,Alcedinidae,Alcedo atthis
2012,10,21,--,--,not provided,1,Facebook,uncertain,Columbidae,Chalcophaps indica
2012,10,24,--,--,not provided,1,Facebook,found dead,Turdidae,Zoothera aurea
2012,10,30,--,--,not provided,1,Facebook,uncertain,Passeridae,Passer montanus
2012,11,1,24.44840843,120.8807672,vague,1,Facebook,found dead,Muscicapidae,Phoenicurus auroreus
2012,11,2,--,--,not provided,1,Facebook,captured: released afterward,Muscicapidae,Calliope calliope
2012,11,5,25.12814153,121.7484116,precise,1,Facebook,found dead,Accipitridae,Accipiter virgatus
2012,11,5,25.12814153,121.7484116,precise,1,Facebook,found dead,Passeridae,Passer montanus
2012,11,6,--,--,not provided,1,Facebook,flew away,Megalaimidae,Psilopogon nuchalis
