JOURNAL OF ANIMAL ECOLOGY
Year: 2021
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2021,"21,334","5.606","5.364","5.655","1.214","224","97.77","91.053",
2020,"20,395","5.091","4.691","5.537","1.851","289","96.19","90.697",
2019,"16,767","4.554","4.393","4.907","1.214","131","98.47","92.012",
2018,"16,556","4.364","4.152","5.017","1.965","142","94.37","92.143",
2017,"16,148","4.459","4.221","4.958","1.181","138","94.93","91.908",
2016,"14,909","4.474","4.265","5.063","1.090","145","98.62","91.880",
2015,"14,050","4.827","4.603","5.249","1.111","162","98.77","93.701",
2014,"13,619","4.504","4.298","5.316","1.097","144","98.61","92.444",
2013,"13,314","4.726","4.563","5.435","1.195","128","95.31","92.567",
2012,"12,354","4.841","4.614","5.166","0.881","134","99.25","92.665",
2011,"11,942","4.937","4.641","4.971","0.868","129","96.90","92.956",
2010,"11,154","4.457","4.221","4.782","1.148","135","96.30","91.598",
2009,"10,547","3.714","3.420","4.564","0.889","135","94.81","89.922",
2008,"10,187","4.220","3.918","4.792","0.729","144","97.92","91.940",
2007,"9,347","3.747","3.433","4.379","0.555","128","100.00","91.449",
2006,"8,560","3.390","3.100","N/A","0.371","140","97.86","91.676",
2005,"7,897","3.399","3.239","N/A","0.579","121","99.17","91.091",
2004,"7,102","3.342","3.045","N/A","0.436","110","99.09","93.489",
2003,"6,858","2.843","2.525","N/A","0.369","103","99.03","90.991",
2002,"6,544","2.905","2.661","N/A","0.414","99","96.97","92.665",
2001,"6,478","3.312","2.917","N/A","0.283","99","92.93","94.207",
2000,"6,206","2.862","2.702","N/A","0.444","72","100.00","93.634",
1999,"5,907","2.994","2.646","N/A","0.451","102","91.18","91.887",
1998,"5,398","3.192","2.894","N/A","0.465","86","97.67","95.145",
1997,"4,883","2.801","2.473","N/A","0.427","75","93.33","93.846",


Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
