Methods in Ecology and Evolution
Year: 2021
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2021,"24,026","8.335","7.943","11.542","1.132","243","91.36","94.509",
2020,"19,615","7.781","7.450","10.827","1.315","216","95.83","94.880",
2019,"14,303","6.514","6.231","8.729","1.199","196","93.88","94.970",
2018,"11,672","7.099","6.759","9.544","1.609","215","93.02","94.848",
2017,"8,866","6.363","6.076","9.881","1.448","192","95.83","94.688",
2016,"6,546","5.708","5.369","8.631","1.044","160","96.88","91.830",
2015,"4,429","6.344","6.061","8.121","1.143","154","94.81","95.000",
2014,"2,906","6.554","6.147","7.393","0.806","144","96.53","94.138",
2013,"1,731","5.322","5.045","6.587","0.978","135","94.07","89.716",
2012,"822","5.924","5.546","6.000","0.854","123","96.75","91.544",
2011,"278","5.093","4.977","5.093","0.750","76","96.05","89.179",


Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
