year,species
1992,Ketupa flavipes
2003,Streptopelia chinensis
2005,Alcedo atthis
2006,Chalcophaps indica
2006,Pitta nympha
2007,Hierococcyx sparverioides
2008,Passer montanus
2008,Accipiter trivirgatus
2008,Chalcophaps indica
2008,Pycnonotus sinensis
2009,Troglodytes troglodytes
2009,Zoothera aurea
2010,Otus lettia
2010,Alcedo atthis
2010,Hypsipetes leucocephalus
2010,Accipiter virgatus
2010,Streptopelia chinensis
2010,Pycnonotus sinensis
2010,Alcedo atthis
2010,Streptopelia chinensis
2010,Chalcophaps indica
2010,Pycnonotus sinensis
2010,Turdus pallidus
2010,Halcyon coromanda
2011,Zosterops simplex
2011,Arborophila crudigularis
2011,Chalcophaps indica
2011,Hypsipetes leucocephalus
2011,Streptopelia orientalis
2011,Identified to Class: Aves
2011,Hierococcyx sparverioides
2011,Prinia inornata
2011,Pycnonotus sinensis
2011,Ninox japonica
2011,Passer montanus
2011,Passer montanus
2011,Chalcophaps indica
2011,Zosterops simplex
2011,Pyrrhula nipalensis
2011,Chalcophaps indica
2011,Passer montanus
2011,Zosterops simplex
2011,Otus lettia
2011,Alcedo atthis
2011,Pycnonotus sinensis
2011,Monticola solitarius
2011,Halcyon coromanda
2011,Chalcophaps indica
2011,Urosphena squameiceps
2011,Eophona migratoria
2011,Hirundo rustica
2011,Passer montanus
2011,Columba livia
2011,Accipiter trivirgatus
2011,Zosterops simplex
2011,Chalcophaps indica
2011,Myophonus insularis
2012,Passer montanus
2012,Chalcophaps indica
2012,Psilopogon nuchalis
2012,Passer montanus
2012,Chalcophaps indica
2012,Passer montanus
2012,Chalcophaps indica
2012,Chalcophaps indica
2012,Psilopogon nuchalis
2012,Cuculus optatus
2012,Passer montanus
2012,Columba livia
2012,Pycnonotus sinensis
2012,Alcedo atthis
2012,Passer montanus
2012,Passer montanus
2012,Chalcophaps indica
2012,Streptopelia tranquebarica
2012,Pycnonotus sinensis
2012,Chalcophaps indica
2012,Zosterops simplex
2012,Locustella certhiola
2012,Psilopogon nuchalis
2012,Pitta nympha
2012,Pycnonotus sinensis
2012,Alcedo atthis
2012,Bambusicola sonorivox
2012,Streptopelia orientalis
2012,Chalcophaps indica
2012,Accipiter trivirgatus
2012,Chalcophaps indica
2012,Passer montanus
2012,Psilopogon nuchalis
2012,Dendrocitta formosae
2012,Streptopelia chinensis
2012,Chalcophaps indica
2012,Alcedo atthis
2012,Zosterops simplex
2012,Gorsachius melanolophus
2012,Passer montanus
2012,Myophonus insularis
2012,Streptopelia chinensis
2012,Clamator coromandus
2012,Myophonus insularis
2012,Psilopogon nuchalis
2012,Identified to Class: Aves
2012,Zosterops simplex
2012,Chalcophaps indica
2012,Chalcophaps indica
2012,Alcedo atthis
2012,Locustella fasciolata
2012,Phylloscopus borealis complex
2012,Alcedo atthis
2012,Phylloscopus borealis complex
2012,Lanius cristatus
2012,Psilopogon nuchalis
2012,Passer montanus
2012,Monticola solitarius
2012,Identified to Family: Columbidae
2012,Accipiter trivirgatus
2012,Hypsipetes leucocephalus
2012,Psilopogon nuchalis
2012,Lanius cristatus
2012,Psilopogon nuchalis
2012,Phylloscopus inornatus
2012,Chalcophaps indica
2012,Alcedo atthis
2012,Chalcophaps indica
2012,Zoothera aurea
2012,Passer montanus
2012,Phoenicurus auroreus
2012,Calliope calliope
2012,Accipiter virgatus
2012,Passer montanus
2012,Psilopogon nuchalis
2012,Passer montanus
2012,Passer montanus
2012,Accipiter trivirgatus
2012,Myiomela leucura
2012,Ninox japonica
2012,Chalcophaps indica
2012,Turdus obscurus
2012,Psilopogon nuchalis
2012,Zosterops simplex
2012,Turdus mandarinus
2012,Psilopogon nuchalis
2012,Turdus pallidus
2012,Turdus pallidus
2012,Psilopogon nuchalis
2012,Phoenicurus auroreus
2012,Turdus pallidus
2012,Psilopogon nuchalis
2012,Turdus pallidus
2012,Zoothera aurea
2012,Accipiter trivirgatus
2012,Zoothera sp.
2012,Psilopogon nuchalis
2012,Turdus pallidus
2012,Alcedo atthis
2012,Sturnia sinensis
2012,Zosterops simplex
2012,Zoothera aurea
2012,Zoothera aurea
2012,Turdus pallidus
2013,Alcedo atthis
2013,Psilopogon nuchalis
2013,Locustella lanceolata
2013,Psilopogon nuchalis
2013,Psilopogon nuchalis
2013,Accipiter trivirgatus
2013,Hypsipetes leucocephalus
2013,Psilopogon nuchalis
2013,Turdus pallidus
2013,Zoothera aurea
2013,Psilopogon nuchalis
2013,Psilopogon nuchalis
2013,Psilopogon nuchalis
2013,Passer montanus
2013,Zosterops simplex
2013,Streptopelia chinensis
2013,Chalcophaps indica
2013,Accipiter virgatus
2013,Streptopelia chinensis
2013,Streptopelia tranquebarica
2013,Hypsipetes leucocephalus
2013,Dendrocitta formosae
2013,Turdus obscurus
2013,Passer montanus
2013,Psilopogon nuchalis
2013,Aplonis panayensis
2013,Hypothymis azurea
2013,Psilopogon nuchalis
2013,Alcedo atthis
2013,Pycnonotus sinensis
2013,Zoothera aurea
2013,Chalcophaps indica
2013,Passer montanus
2013,Passer montanus
2013,Passer montanus
2013,Alcedo atthis
2013,Halcyon coromanda
2013,Streptopelia chinensis
2013,Alcedo atthis
2013,Psilopogon nuchalis
2013,Psilopogon nuchalis
2013,Alcedo atthis
2013,Alcedo atthis
2013,Alcedo atthis
2013,Chalcophaps indica
2013,Locustella ochotensis
2013,Passer montanus
2013,Alcedo atthis
2013,Alcedo atthis
2013,Chalcophaps indica
2013,Chalcophaps indica
2013,Psilopogon nuchalis
2013,Passer montanus
2013,Myophonus insularis
2013,Actinodura morrisoniana
2013,Alcedo atthis
2013,Alcedo atthis
2013,Hypsipetes leucocephalus
2013,Chalcophaps indica
2013,Passer montanus
2013,Alcedo atthis
2013,Chalcophaps indica
2013,Chalcophaps indica
2013,Passer montanus
2013,Passer montanus
2013,Passer montanus
2013,Alcedo atthis
2013,Myophonus insularis
2013,Accipiter trivirgatus
2013,Prinia inornata
2013,Spilornis cheela
2013,Chalcophaps indica
2013,Spilornis cheela
2013,Psilopogon nuchalis
2013,Streptopelia chinensis
2013,Accipiter trivirgatus
2013,Accipiter trivirgatus
2013,Passer montanus
2013,Alcedo atthis
2013,Chalcophaps indica
2013,Chalcophaps indica
2013,Lanius cristatus
2013,Passer montanus
2013,Chalcophaps indica
2013,Pycnonotus sinensis
2013,Motacilla cinerea
2013,Psilopogon nuchalis
2013,Alcedo atthis
2013,Chalcophaps indica
2013,Chalcophaps indica
2013,Passer montanus
2013,Zosterops simplex
2013,Lanius cristatus
2013,Locustella ochotensis
2013,Chalcophaps indica
2013,Zosterops simplex
2013,Chalcophaps indica
2013,Psilopogon nuchalis
2013,Accipiter trivirgatus
2013,Ninox japonica
2013,Psilopogon nuchalis
2013,Locustella ochotensis
2013,Streptopelia chinensis
2013,Accipiter virgatus
2013,Alcedo atthis
2013,Accipiter trivirgatus
2013,Pycnonotus sinensis
2013,Zosterops simplex
2013,Pycnonotus sinensis
2013,Passer montanus
2013,Ficedula narcissina
2013,Calliope calliope
2013,Psilopogon nuchalis
2013,Calliope calliope
2013,Phoenicurus auroreus
2013,Alcedo atthis
2013,Accipiter trivirgatus
2013,Psilopogon nuchalis
2013,Turdus obscurus
2013,Psilopogon nuchalis
2013,Accipiter trivirgatus
2013,Streptopelia tranquebarica
2013,Psilopogon nuchalis
2013,Chalcophaps indica
2013,Otus lettia
2013,Turdus pallidus
2013,Turdus pallidus
2013,Prinia inornata
2013,Zoothera aurea
2013,Turdus pallidus
2013,Chalcophaps indica
2013,Anthus hodgsoni
2013,Turdus pallidus
2013,Identified to Family: Turdidae
2013,Turdus pallidus
2013,Turdus chrysolaus
2013,Turdus pallidus
2013,Turdus pallidus
2013,Dendrocitta formosae
2013,Psilopogon nuchalis
2013,Psilopogon nuchalis
