State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
California,Cabrillo NM,"768,076",12.36%,"95,776",12.12%,"81,792",0.00%,"1,149,321",12.12%,"20,447",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Cesar E. Chavez NM,"11,585",26.42%,482,26.51%,0,,"5,793",26.46%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Channel Islands NP,"323,245",1.25%,"385,415",-5.78%,"14,192",17.31%,"4,624,988",-5.78%,"340,570",17.30%,0,,0,,0,,0,,"28,210",15.01%,"9,010",0.00%,"45,077",12.18%,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Death Valley NP,"1,108,558",-1.50%,"712,159",-0.86%,"44,315",-3.97%,"8,545,917",-0.86%,"66,470",-3.98%,"23,067",75.04%,"2,862",22.99%,"81,453",-7.09%,"95,799",2.96%,"3,283",-15.43%,0,121.13%,471,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Devils Postpile NM,"144,453",-0.64%,"42,132",-0.64%,0,,"505,589",-0.64%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Eugene O'Neill NHS,"18,754",-17.43%,"1,258",8.82%,0,-100.00%,"15,107",8.89%,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Fort Point NHS,"955,454",0.87%,"44,893",4.19%,0,,"538,717",4.19%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Golden Gate NRA,"15,638,911",14.05%,"3,431,378",9.91%,0,,"41,176,537",9.91%,0,,"65,130",81.07%,0,,"5,393",-18.68%,0,,"1,610",-16.75%,0,5.83%,"9,262",,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,John Muir NHS,"38,878",5.35%,"4,859",5.33%,0,-100.00%,"58,316",5.35%,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
California,Joshua Tree NP,"3,058,294",-0.20%,"1,532,267",5.62%,"11,329",-0.14%,"18,387,207",5.62%,"11,329",-0.14%,0,,0,,"211,452",6.66%,"97,494",28.81%,"12,591",-15.59%,0,26.98%,"74,494",,Subtotal California,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",,"38,237,347",8.94%,"18,759,491",12.29%,"474,353",0.43%,"225,114,036",12.29%,"4,396,507",7.37%,"812,464",,"48,341",,"940,151",,"534,398",,"307,644",,"9,010",,"180,420",
