Date,Time_24hr,Site,Number,Weather,Recorder
20221117,9:00,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20221118,9:30,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20221119,11:30,Huajiang_bridge,7,Sunny,Gen_Chang_Hsu
20221120,11:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20221121,9:30,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20221122,9:30,Huajiang_bridge,0,Sunny_with_cloud,Gen_Chang_Hsu
20221123,9:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20221124,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20221125,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20221126,11:30,Huajiang_bridge,4,Cloudy,Gen_Chang_Hsu
20221127,10:00,Chongyang_bridge,1,Cloudy,Gen_Chang_Hsu
20221127,10:30,Huajiang_bridge,4,Cloudy,Gen_Chang_Hsu
20221128,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20221129,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20221130,9:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20221201,9:00,Huajiang_bridge,5,Cloudy,Gen_Chang_Hsu
20221201,9:30,Zhongzheng_bridge,1,Cloudy,Gen_Chang_Hsu
20221202,9:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20221203,11:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20221204,11:00,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20221205,9:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20221206,10:30,Huajiang_bridge,8,Cloudy,Gen_Chang_Hsu
20221208,10:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20221209,9:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20221210,12:00,Huajiang_bridge,3,Rainy,Gen_Chang_Hsu
20221210,12:00,Zhongzheng_bridge,2,Rainy,Gen_Chang_Hsu
20221211,11:00,Huajiang_bridge,1,Rainy,Gen_Chang_Hsu
20221212,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20221213,10:30,Huajiang_bridge,6,Rainy,Gen_Chang_Hsu
20221215,10:00,Huajiang_bridge,9,Rainy,Gen_Chang_Hsu
20221216,11:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20221218,10:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20221219,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20221220,10:30,Huajiang_bridge,8,Sunny,Gen_Chang_Hsu
20221222,9:30,Huajiang_bridge,4,Sunny,Gen_Chang_Hsu
20221223,10:00,Huajiang_bridge,4,Sunny,Gen_Chang_Hsu
20221224,10:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20221230,9:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20221231,11:30,Huajiang_bridge,4,Rainy,Gen_Chang_Hsu
20230101,11:30,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230103,9:30,Huajiang_bridge,7,Cloudy,Gen_Chang_Hsu
20230104,9:30,Huajiang_bridge,3,Cloudy,Gen_Chang_Hsu
20230105,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230106,9:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230107,11:30,Huajiang_bridge,6,Sunny_with_cloud,Gen_Chang_Hsu
20230108,11:00,Huajiang_bridge,2,Sunny,Gen_Chang_Hsu
20230109,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230110,10:00,Huajiang_bridge,2,Sunny,Gen_Chang_Hsu
20230111,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230113,9:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230114,10:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230119,9:00,Huajiang_bridge,3,Sunny,Gen_Chang_Hsu
20230120,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230125,12:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230126,11:00,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230127,10:30,Huajiang_bridge,5,Cloudy,Gen_Chang_Hsu
20230128,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230131,10:00,Huajiang_bridge,2,Sunny,Gen_Chang_Hsu
20230201,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230202,10:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230203,9:00,Huajiang_bridge,4,Sunny_with_cloud,Gen_Chang_Hsu
20230205,11:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230206,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230207,9:00,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230208,9:30,Huajiang_bridge,7,Sunny_with_cloud,Gen_Chang_Hsu
20230209,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230210,10:00,Huajiang_bridge,4,Cloudy,Gen_Chang_Hsu
20230211,10:30,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230212,11:00,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230213,9:30,Huajiang_bridge,1,Sunny,Gen_Chang_Hsu
20230214,10:00,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230216,9:00,Huajiang_bridge,4,Cloudy,Gen_Chang_Hsu
20230217,9:30,Huajiang_bridge,6,Sunny,Gen_Chang_Hsu
20230218,9:30,Huajiang_bridge,0,Sunny,Gen_Chang_Hsu
20230219,11:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230220,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230221,9:30,Huajiang_bridge,2,Rainy,Gen_Chang_Hsu
20230222,9:30,Huajiang_bridge,0,Rainy,Gen_Chang_Hsu
20230223,9:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
20230224,9:00,Huajiang_bridge,1,Cloudy,Gen_Chang_Hsu
20230225,10:30,Huajiang_bridge,2,Cloudy,Gen_Chang_Hsu
20230226,10:30,Huajiang_bridge,0,Cloudy,Gen_Chang_Hsu
